Артикул;Название;Категория;Описание;Цена;Скидка;Вес;Калории;Количество в порции;Объём;Картинка;Статус
5003;Дабл;Запечённые роллы;Угорь копченый, сыр Пармезан, такуан, икра масаго, спайси соус, белый соус;308;50;255;570;8;;uploads/items/dabl.jpg;1
5004;Дубай;Запечённые роллы;Окунь фурай, мидии, сыр Пармезан, японский омлет, огурец, спайси соус;308;50;260;471;8;;uploads/items/dubai.jpg;1
5005;Изуми;Запечённые роллы;Окунь фурай, мидии, огурец, сыр Пармезан, икра масаго, белый соус;298;50;260;564;8;;uploads/items/izumi.jpg;1
5006;Калифорния;Запечённые роллы;Лосось, снежный краб, сыр сливочный, икра масаго, огурец, сыр Пармезан, спайси соус;308;50;280;546;8;;uploads/items/kaliforniya.jpg;1
5007;Мадагаскар;Запечённые роллы;Угорь копченый, лосось, сыр сливочный, огурец, кунжут, сыр Пармезан, спайси соус, унаги соус, кунжут;308;50;275;556;8;;uploads/items/madagaskar.jpg;1
5008;Спешл;Запечённые роллы;Лосось, снежный краб, икра масаго, огурец, сыр Пармезан, белый соус;308;50;265;435;8;;uploads/items/special.jpg;1
5009;Техас;Запечённые роллы;Бекон, сыр сливочный, сыр Гауда, помидор, перец болгарский;308;50;245;342;8;;uploads/items/texas.jpg;1
5010;Унаги;Запечённые роллы;Угорь копченый, сыр сливочный, огурец, сыр Пармезан, белый соус, унаги соус;308;50;255;527;8;;uploads/items/unagi-zap.jpg;1
5011;Филадельфия;Запечённые роллы;Окунь фурай, снежный краб, сыр сливочный, огурец, кунжут, сыр Пармезан, белый соус;308;50;275;662;8;;uploads/items/filadelfia-zap.jpg;1
5012;Хоку;Запечённые роллы;Креветка, снежный краб, икра масаго, огурец, сыр Пармезан, белый соус;308;50;255;407;8;;uploads/items/hoku.jpg;1
5013;Чикен;Запечённые роллы;Курица х/к, сыр сливочный, перец болгарский, кунжут, сыр Пармезан, белый соус;278;50;265;524;8;;uploads/items/chikken.jpg;1
5014;Шик;Запечённые роллы;Лосось, сыр сливочный, японский омлет, икра масаго, огурец, сыр Пармезан, белый соус;308;50;285;546;8;;uploads/items/shik.jpg;1
5015;Кинг;Запечённые роллы;Огурец, окунь фурай, икра масаго, белый соус;308;50;245;194;8;;uploads/items/king.jpg;1
5016;Акита;Запечённые роллы;Угорь копченый, японский омлет, сыр сливочный, огурец, зеленый лук, яки-соус;308;50;265;482;8;;uploads/items/akita.jpg;0
5017;Мураками;Запечённые роллы;Креветка, японский омлет, сыр сливочный, огурец, укроп, яки-соус;308;50;260;468;8;;uploads/items/murakami.jpg;0
5018;Такеши;Запечённые роллы;Снежный краб, японский омлет, сыр сливочный, огурец, японский майонез, икра масаго, спайси соус;308;50;275;475;8;;uploads/items/takeshi.jpg;1
6001;Горячий;Сеты;Горячие роллы: Олимпийский, Итальянский, Нежность, Цезарь, Бостон;1378;50;1040;1634;40;;uploads/items/goryachi-set.jpg;1
